lcs_length,10,9,2,8,1,1,1,36
longest_common_subsequence,10,10,7,4,1,6,6,37
levenshtein,10,6,2,5,1,1,1,24
is_valid_parenthesization,10,3,3,1,1,2,2,2
lcs_length,11,9,2,8,1,1,1,63
longest_common_subsequence,11,10,7,4,1,6,6,32
levenshtein,11,6,2,5,1,1,1,20
is_valid_parenthesization,11,3,3,1,1,2,2,2
lcs_length,12,9,2,8,1,1,1,43
longest_common_subsequence,12,10,7,4,1,6,6,32
levenshtein,12,6,2,5,1,1,1,20
is_valid_parenthesization,12,3,3,1,1,2,2,2
lcs_length,13,9,2,8,1,1,1,36
longest_common_subsequence,13,10,7,4,1,6,6,32
levenshtein,13,6,2,5,1,1,1,20
is_valid_parenthesization,13,3,3,1,1,2,2,2
lcs_length,14,9,2,8,1,1,1,63
longest_common_subsequence,14,10,7,4,1,6,6,32
levenshtein,14,6,2,5,1,1,1,35
is_valid_parenthesization,14,3,3,1,1,2,2,2
lcs_length,15,9,2,8,1,1,1,36
longest_common_subsequence,15,10,7,4,1,6,6,32
levenshtein,15,6,2,5,1,1,1,24
is_valid_parenthesization,15,3,3,1,1,2,2,2
lcs_length,16,9,2,8,1,1,1,25
longest_common_subsequence,16,10,7,4,1,6,6,32
levenshtein,16,6,2,5,1,1,1,20
is_valid_parenthesization,16,3,3,1,1,2,2,2
lcs_length,17,9,2,8,1,1,1,48
longest_common_subsequence,17,10,7,4,1,6,6,32
levenshtein,17,6,2,5,1,1,1,35
is_valid_parenthesization,17,3,3,1,1,2,2,2
lcs_length,18,9,2,8,1,1,1,63
longest_common_subsequence,18,10,7,4,1,6,6,36
levenshtein,18,6,2,5,1,1,1,20
is_valid_parenthesization,18,3,3,1,1,2,2,2
lcs_length,19,9,2,8,1,1,1,43
longest_common_subsequence,19,10,7,4,1,6,6,32
levenshtein,19,6,2,5,1,1,1,24
is_valid_parenthesization,19,3,3,1,1,2,2,2
lcs_length,1,9,2,8,1,1,1,63
longest_common_subsequence,1,10,7,4,1,6,6,32
levenshtein,1,6,2,5,1,1,1,27
is_valid_parenthesization,1,3,3,1,1,2,2,2
lcs_length,20,9,2,8,1,1,1,24
longest_common_subsequence,20,10,7,4,1,6,6,37
levenshtein,20,6,2,5,1,1,1,35
is_valid_parenthesization,20,3,3,1,1,2,2,2
lcs_length,21,9,2,8,1,1,1,43
longest_common_subsequence,21,10,7,4,1,6,6,36
levenshtein,21,6,2,5,1,1,1,35
is_valid_parenthesization,21,3,3,1,1,2,2,2
lcs_length,22,9,2,8,1,1,1,36
longest_common_subsequence,22,10,7,4,1,6,6,32
levenshtein,22,6,2,5,1,1,1,35
is_valid_parenthesization,22,3,3,1,1,2,2,2
lcs_length,23,9,2,8,1,1,1,24
longest_common_subsequence,23,10,7,4,1,6,6,32
levenshtein,23,6,2,5,1,1,1,20
is_valid_parenthesization,23,3,3,1,1,2,2,2
lcs_length,24,9,2,8,1,1,1,63
longest_common_subsequence,24,10,7,4,1,6,6,37
levenshtein,24,6,2,5,1,1,1,35
is_valid_parenthesization,24,3,3,1,1,2,2,2
lcs_length,25,9,2,8,1,1,1,36
longest_common_subsequence,25,10,7,4,1,6,6,37
levenshtein,25,6,2,5,1,1,1,23
is_valid_parenthesization,25,3,3,1,1,2,2,2
lcs_length,26,9,2,8,1,1,1,36
longest_common_subsequence,26,10,7,4,1,6,6,32
levenshtein,26,6,2,5,1,1,1,35
is_valid_parenthesization,26,3,3,1,1,2,2,2
lcs_length,27,9,2,8,1,1,1,43
longest_common_subsequence,27,10,7,4,1,6,6,36
levenshtein,27,6,2,5,1,1,1,24
is_valid_parenthesization,27,3,3,1,1,2,2,2
lcs_length,28,9,2,8,1,1,1,48
longest_common_subsequence,28,10,7,4,1,6,6,32
levenshtein,28,6,2,5,1,1,1,27
is_valid_parenthesization,28,3,3,1,1,2,2,2
lcs_length,29,9,2,8,1,1,1,63
longest_common_subsequence,29,10,7,4,1,6,6,37
levenshtein,29,6,2,5,1,1,1,27
is_valid_parenthesization,29,3,3,1,1,2,2,2
lcs_length,2,9,2,8,1,1,1,18
longest_common_subsequence,2,10,7,4,1,6,6,37
levenshtein,2,6,2,5,1,1,1,20
is_valid_parenthesization,2,3,3,1,1,2,2,2
lcs_length,30,9,2,8,1,1,1,63
longest_common_subsequence,30,10,7,4,1,6,6,37
levenshtein,30,6,2,5,1,1,1,20
is_valid_parenthesization,30,3,3,1,1,2,2,2
lcs_length,31,9,2,8,1,1,1,24
longest_common_subsequence,31,10,7,4,1,6,6,32
levenshtein,31,6,2,5,1,1,1,23
is_valid_parenthesization,31,3,3,1,1,2,2,2
lcs_length,32,9,2,8,1,1,1,25
longest_common_subsequence,32,10,7,4,1,6,6,32
levenshtein,32,6,2,5,1,1,1,20
is_valid_parenthesization,32,3,3,1,1,2,2,2
lcs_length,3,9,2,8,1,1,1,36
longest_common_subsequence,3,10,7,4,1,6,6,36
levenshtein,3,6,2,5,1,1,1,24
is_valid_parenthesization,3,3,3,1,1,2,2,2
lcs_length,4,9,2,8,1,1,1,24
longest_common_subsequence,4,10,7,4,1,6,6,32
levenshtein,4,6,2,5,1,1,1,35
is_valid_parenthesization,4,3,3,1,1,2,2,2
lcs_length,5,9,2,8,1,1,1,43
longest_common_subsequence,5,10,7,4,1,6,6,36
levenshtein,5,6,2,5,1,1,1,24
is_valid_parenthesization,5,3,3,1,1,2,2,2
lcs_length,6,9,2,8,1,1,1,18
longest_common_subsequence,6,10,7,4,1,6,6,37
levenshtein,6,6,2,5,1,1,1,23
is_valid_parenthesization,6,3,3,1,1,2,2,2
lcs_length,7,9,2,8,1,1,1,24
longest_common_subsequence,7,10,7,4,1,6,6,32
levenshtein,7,6,2,5,1,1,1,35
is_valid_parenthesization,7,3,3,1,1,2,2,2
lcs_length,8,9,2,8,1,1,1,24
longest_common_subsequence,8,10,7,4,1,6,6,32
levenshtein,8,6,2,5,1,1,1,27
is_valid_parenthesization,8,3,3,1,1,2,2,2
lcs_length,9,9,2,8,1,1,1,24
longest_common_subsequence,9,10,7,4,1,6,6,36
levenshtein,9,6,2,5,1,1,1,20
is_valid_parenthesization,9,3,3,1,1,2,2,2
